objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Munchkin Promo Cards","41034","0","0","0","0","0","0","0","0","1","0","0","3","","Josh has","","","","34587370","5.58227","6.771","1.7143","0","6504","thing","Munchkin Promo Cards","3","6","90","90","90","0","3,4,5","4","","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Munchkin Promotional Bookmarks","24733","0","0","0","0","0","0","0","0","1","0","0","3","","Josh has","","","","34587394","5.49694","5.68388","1.5417","0","3537","thing","Munchkin Promotional Bookmarks","3","6","90","90","90","2001","4,5,6","5","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Munchkin Quest","29678","0","0","0","0","0","0","0","0","1","0","0","3","","Josh has","","","","32084142","5.6183","5.81614","2.5092","8682","10135","thing","Munchkin Quest","2","4","180","180","180","2008","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Munchkin Santa's Revenge","76466","0","0","0","0","0","0","0","0","1","0","0","3","","Josh has","","","","34587377","5.61005","6.71863","2.2857","0","1285","thing","Munchkin Santa's Revenge","3","6","90","90","90","2010","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Murder Mystery Flexi Party: Murder in the Roaring '20s","263933","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","113474466","0","6","0","0","3","thing","Murder Mystery Flexi Party: Murder in the Roaring '20s","6","14","0","0","0","2016","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Murder Mystery Party Case Files: Death in Antarctica","266266","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","130521680","5.69131","7.11726","2.2","6586","909","thing","Murder Mystery Party Case Files: Death in Antarctica","1","6","180","180","90","2017","1,2,3","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Murder Mystery Party: Murder in the Orient","263190","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","119378781","0","0","0","0","7","thing","Murder Mystery Party: Murder in the Orient","6","6","180","180","60","2002","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Murder Mystery: Murder on the Express","430994","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","130521640","0","3","0","0","13","thing","Murder Mystery: Murder on the Express","2","13","0","0","0","2023","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Muse","234396","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","54030347","6.03105","6.57373","1.1111","3057","5113","thing","Muse","2","12","30","30","30","2017","4,5,6,7,8","4,6","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Muse: Awakenings","252776","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","100265352","5.68467","6.84801","1.125","6732","1227","thing","Muse: Awakenings","2","12","30","30","30","2018","4,5,6,7,8","6","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Museum Heist","220541","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","54463685","5.53244","6.19459","0","16359","292","thing","Museum Heist","2","4","20","20","20","2017","2,3,4","2","","","","","","","","standalone","","","","","","","","","","","","","","",""
"My City","295486","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","130518580","7.23928","7.56521","1.9856","274","25826","thing","My City","2","4","30","30","30","2020","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"My First Carcassonne","41010","0","0","0","1","0","0","0","0","0","0","0","3","","Kids","","","","54030309","6.22721","6.65009","1.1265","2155","10575","thing","My First Carcassonne","2","4","20","20","10","2009","2,3,4","4","4–10","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"My First Castle Panic","267314","0","0","0","1","0","0","0","0","0","0","0","3","","Kids","","","","109781598","5.80133","6.39563","1.1316","4838","3144","thing","My First Castle Panic","1","4","20","20","20","2019","1,2,3,4","3","3–8","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"My Little Scythe","226320","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","87070078","6.69894","7.19337","2.0146","926","14143","thing","My Little Scythe","1","6","60","60","45","2018","1,2,3,4,5,6","4","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Mysterium","181304","0","1","0","1","0","0","0","0","0","0","0","3","","Game Play: Deduction
Our Rating: Good
Thoughts: Complex setup. Fun on later plays with proper understanding of rules. 

Its a cross between Clue & DixIt, didn't like first play. Setup not easy and easy to misunderstand rules. ","","","","32084154","7.04535","7.18728","1.8897","462","85631","thing","Mysterium","2","7","42","42","42","2015","3,4,5,6,7","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mystery Express","65907","0","0","0","1","0","0","0","0","0","0","0","3","","our version is called Murder on the Express","","","","119444398","6.03263","6.54584","2.6579","3046","3811","thing","Mystery Express","3","5","90","90","60","2010","3,4,5","5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Mystery Rummy: Jack the Ripper","106","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","54597685","6.34153","6.94306","1.7426","1754","6271","thing","Mystery Rummy: Jack the Ripper","2","4","45","45","45","1998","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Mystic Vale","194607","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","52999233","6.92362","7.23336","2.26","605","17864","thing","Mystic Vale","2","4","45","45","45","2016","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Naga Raja","244191","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","80320458","6.35479","7.0882","2.0112","1719","4967","thing","Naga Raja","2","2","30","30","30","2019","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Nautilus Industries","158970","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","80320431","5.60547","6.66293","2.5","9275","580","thing","Nautilus Industries","2","6","60","60","60","2015","3,4,5,6","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Nefarious","108044","0","0","0","0","1","0","0","0","0","0","0","3","","","","","","55284620","5.87578","6.24201","1.7267","4121","4272","thing","Nefarious","2","6","45","45","30","2011","2,3,4,5,6","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
