bg_id,2,3,4,5,6,8,10,12,14,16,18,21 and up
174430,4,0,0,0,0,6,42,82,130,17,2,3
161936,1,1,0,0,2,18,48,66,25,7,0,1
224517,1,0,0,0,0,5,6,22,48,14,0,1
167791,0,0,0,0,0,19,77,135,77,6,2,3
291457,0,0,0,0,1,7,18,36,29,1,1,0
233078,0,0,0,0,0,0,6,12,30,20,3,2
220308,1,0,0,0,0,1,3,18,59,15,1,0
187645,0,0,0,0,0,6,18,42,54,7,1,0
162886,1,0,0,1,0,2,12,48,94,31,1,1
182028,0,0,0,0,0,0,4,23,67,18,2,3
115746,0,0,0,0,0,0,5,23,45,20,0,1
193738,0,0,0,0,0,2,17,48,44,6,0,0
12333,1,0,0,0,1,3,9,59,162,91,7,11
169786,2,0,0,0,4,11,48,89,84,14,2,0
316554,0,0,0,0,0,2,26,30,15,0,0,2
84876,0,0,0,0,2,18,47,86,27,2,1,0
167355,0,0,0,0,1,1,16,24,29,13,3,1
173346,0,0,0,2,3,78,123,58,8,1,0,0
124361,1,0,0,0,0,4,19,47,13,1,0,0
28720,0,0,0,0,0,1,5,24,47,15,0,1
120677,0,0,0,0,2,6,18,72,80,11,1,1
177736,0,0,0,0,0,4,9,29,20,4,0,0
266192,0,0,0,1,8,112,127,39,3,0,0,1
205637,0,0,0,0,0,3,14,46,71,12,2,1
183394,0,0,0,0,0,9,29,50,20,3,1,0
237182,0,0,0,1,0,9,26,47,60,9,0,0
164928,0,0,0,0,0,8,18,32,3,0,0,0
199792,0,0,0,1,1,31,39,55,9,0,0,1
266507,0,0,0,0,0,6,3,5,0,0,0,0
96848,1,0,0,0,0,1,14,45,109,49,4,3
312484,0,0,0,0,1,10,44,31,3,1,0,0
246900,0,0,0,1,0,1,8,13,11,1,0,0
175914,0,0,0,0,0,0,5,8,25,10,2,0
3076,1,0,0,1,2,15,71,128,73,15,4,1
102794,0,0,0,0,3,6,15,50,28,1,0,1
170216,0,0,0,1,0,13,30,39,23,3,0,1
285774,0,0,0,0,0,8,34,41,9,1,0,0
192135,0,0,0,0,0,0,11,13,14,0,0,0
31260,2,0,0,4,13,57,132,209,117,24,4,3
251247,0,0,0,0,0,1,2,13,22,4,0,0
276025,0,0,0,0,0,0,3,16,21,3,0,0
247763,0,0,0,0,0,2,7,18,11,2,0,0
221107,0,0,0,0,1,2,7,22,8,4,1,0
205059,0,0,0,0,1,3,20,40,23,9,0,0
256960,0,0,0,0,0,0,1,5,17,5,0,0
284083,0,0,0,0,2,19,31,18,2,0,0,0
185343,0,0,0,0,0,1,3,12,25,7,1,0
126163,0,0,0,0,0,5,8,40,35,2,1,0
2651,0,0,0,0,0,11,54,125,52,5,1,0
55690,1,0,0,0,0,0,4,3,13,69,90,10
216132,0,0,0,0,0,3,11,36,15,1,0,0
184267,0,1,0,0,0,1,1,5,28,16,1,0
164153,0,0,1,0,2,16,26,48,15,2,0,1
209010,1,0,0,1,5,17,20,14,4,0,0,0
35677,0,0,0,0,1,3,14,62,36,7,1,1
180263,0,0,0,0,1,15,35,35,16,1,0,0
244521,0,0,2,2,38,71,16,1,0,0,0,1
342942,0,0,0,0,0,1,4,8,22,1,0,0
125153,0,0,0,0,0,1,0,16,24,3,1,0
521,0,0,5,2,34,9,0,0,0,0,0,0
161533,0,0,0,0,0,0,0,7,15,7,2,0
230802,0,1,2,14,72,131,41,7,1,0,0,1
72125,1,0,0,0,1,7,20,66,61,15,0,0
25613,0,0,0,0,0,3,5,31,83,37,4,1
266810,0,0,0,0,0,0,7,10,18,4,0,0
191189,0,0,0,0,1,3,11,30,6,1,0,0
124742,1,0,0,0,1,1,23,81,62,4,1,1
28143,1,0,0,0,1,11,43,97,46,11,2,2
314040,0,0,0,0,0,0,3,5,5,0,0,1
201808,0,0,0,3,13,72,55,9,1,0,0,0
159675,0,0,0,0,0,1,3,14,15,0,0,0
121921,1,0,0,0,2,23,37,74,45,6,0,1
229853,0,0,0,0,1,1,2,20,18,5,0,1
157354,0,0,0,0,0,11,31,52,18,0,1,0
171623,0,0,0,0,0,2,22,42,12,1,0,0
68448,0,0,1,1,19,141,196,116,21,3,1,0
200680,0,0,0,0,0,2,5,22,9,0,0,1
110327,0,0,1,0,1,25,70,44,9,0,0,0
62219,0,0,0,0,0,1,2,18,52,17,1,2
182874,0,0,0,0,0,4,7,35,12,1,0,0
236457,0,0,0,1,3,12,39,25,4,0,0,0
