ver_id,id,type
459051,85924,artist
459051,85925,artist
459051,60615,artist
459051,81097,artist
459051,50243,artist
459051,85926,artist
459051,58547,artist
459051,47197,artist
459051,74441,artist
448987,19565,artist
448987,11462,artist
448987,86024,artist
448987,97260,artist
448987,73895,artist
448987,85924,artist
448987,85925,artist
448987,60615,artist
448987,81097,artist
448987,50243,artist
448987,85926,artist
448987,58547,artist
448987,47197,artist
448987,74441,artist
446044,19565,artist
446044,11462,artist
446044,86024,artist
446044,97260,artist
446044,73895,artist
446044,85924,artist
446044,85925,artist
446044,60615,artist
446044,81097,artist
446044,50243,artist
446044,85926,artist
446044,58547,artist
446044,47197,artist
446044,74441,artist
329022,94497,artist
329022,11961,artist
329047,94497,artist
329047,11961,artist
288003,94497,artist
288003,11961,artist
483311,114458,artist
483311,11938,artist
483311,94497,artist
483311,11961,artist
343486,94497,artist
343486,11961,artist
355059,94497,artist
259818,11884,artist
332178,84238,artist
332178,11884,artist
332178,20670,artist
280038,84238,artist
280038,11884,artist
280038,20670,artist
142738,11884,artist
464584,11884,artist
183182,11884,artist
372576,11884,artist
183181,11884,artist
222688,11884,artist
183186,11884,artist
360200,84238,artist
360200,11884,artist
360200,20670,artist
183183,11884,artist
577719,11884,artist
372574,11898,artist
328547,11898,artist
300884,11898,artist
410436,11898,artist
454763,11898,artist
535470,11898,artist
300883,11898,artist
346141,11898,artist
337976,11898,artist
462538,11767,artist
462538,11898,artist
378177,11898,artist
342130,11898,artist
332724,11767,artist
364430,11898,artist
540589,11898,artist
361585,11898,artist
332917,11898,artist
466137,11898,artist
129447,71,artist
260917,71,artist
185338,71,artist
129463,71,artist
224900,71,artist
80837,71,artist
80837,140,artist
181197,71,artist
243057,34490,artist
291145,71,artist
23774,71,artist
23774,13512,artist
23774,140,artist
249576,71,artist
133188,71,artist
353312,71,artist
353312,140,artist
195149,71,artist
26538,71,artist
26538,140,artist
27247,71,artist
27247,140,artist
23775,71,artist
163506,71,artist
356084,71,artist
356084,13512,artist
356084,140,artist
99467,71,artist
265401,71,artist
338769,71,artist
115544,50825,artist
115544,71,artist
136222,71,artist
513792,71,artist
311975,71,artist
408811,71,artist
408811,140,artist
154415,71,artist
240207,71,artist
440288,33148,artist
334214,33148,artist
340165,33148,artist
290632,33148,artist
290725,33148,artist
290631,33148,artist
320869,33148,artist
260459,33148,artist
323461,33148,artist
348113,33148,artist
316812,33148,artist
343351,33148,artist
351606,33148,artist
301700,33148,artist
376686,33148,artist
527449,33148,artist
328850,33148,artist
377986,33148,artist
337648,33148,artist
401541,33148,artist
351039,33148,artist
300769,33148,artist
521129,119957,artist
521129,31001,artist
539297,119957,artist
539297,31001,artist
534688,119957,artist
534688,31001,artist
532844,119957,artist
532844,31001,artist
548255,119957,artist
548255,31001,artist
365582,11886,artist
269360,11886,artist
269360,4959,artist
141049,11886,artist
141049,4959,artist
69303,11886,artist
69303,4959,artist
134173,11886,artist
134173,4959,artist
443337,39040,artist
443337,113980,artist
443337,114786,artist
443337,113981,artist
498127,39040,artist
498127,113980,artist
498127,114786,artist
498127,113981,artist
508124,39040,artist
508124,113980,artist
508124,114786,artist
508124,113981,artist
374197,12016,artist
332231,12016,artist
603529,12016,artist
336145,12016,artist
326707,12016,artist
288074,12016,artist
599189,12016,artist
591175,12016,artist
422327,12016,artist
484266,12016,artist
559421,12016,artist
594224,12016,artist
266502,12016,artist
441367,12016,artist
