ver_id,id
460243,2181
482203,2180
479734,2184
331120,2184
451774,2184
591864,2184
351462,2184
384592,2184
520054,2184
481236,2184
268248,2184
331119,2184
475996,2187
399953,2188
466963,2188
596972,2188
441836,2191
448521,2193
554544,2194
455813,2195
424523,2199
507879,2200
388684,2202
447572,2203
569024,2203
305126,2181
305125,2181
329714,2180
329713,2180
288883,2183
291712,2183
245176,2184
591333,2184
416330,2184
271616,2184
390334,2184
271618,2187
434410,2187
271619,2187
434411,2187
281594,2188
288127,2188
318896,2188
332291,2191
332292,2191
287566,2193
287564,2193
394254,2194
285190,2194
387090,2195
386795,2195
270734,2199
274875,2199
296084,2200
303840,2200
293194,2202
457857,2202
278089,2203
278091,2203
523778,2181
558467,2180
558467,2184
417443,2184
351052,2184
435701,2187
491771,2188
512824,2191
470849,2193
520878,2194
471199,2195
442357,2199
566817,2199
459032,2200
389051,2202
447132,2203
538284,2665
410171,2675
364943,2181
568760,2181
388940,2180
451731,2182
350368,2183
546377,2184
256624,2184
349581,2184
360032,2184
473097,2186
344825,2187
510214,2187
405714,2187
427440,2187
312024,2188
388051,2188
344576,2188
536212,2666
355244,2191
344688,2193
375000,2194
364962,2195
301085,2199
348005,2199
378406,2199
355597,2200
482807,2201
351041,2202
535162,2681
340818,2203
538349,2204
414712,2709
480385,2349
475761,2665
589447,2181
574055,2180
476060,2184
597657,2187
490499,2188
561027,2193
558825,2195
524827,2199
577944,2202
569018,2203
587543,2709
426342,2181
428068,2180
365218,2184
369947,2187
365301,2188
389644,2193
465225,2194
543190,2195
366033,2199
389646,2200
368374,2202
365664,2203
369509,2181
573655,2180
347251,2183
343321,2184
506194,2184
377936,2187
510707,2187
343320,2188
420909,2191
355712,2193
377447,2194
388677,2195
366260,2199
353793,2200
371363,2202
377455,2203
341516,2180
290665,2184
299332,2187
296482,2188
348616,2191
561933,2191
307544,2193
294946,2199
428882,2200
429057,2202
290782,2203
509832,2181
601920,2180
497500,2184
582330,2184
428048,2184
246745,2184
408659,2184
526893,2184
387123,2184
453197,2184
441965,2184
548059,2184
393555,2184
392223,2187
488453,2187
484931,2188
422684,2188
451080,2188
449656,2191
489681,2193
554549,2194
476655,2195
469209,2199
459051,2200
448987,2202
446044,2203
317549,2181
329022,2180
281479,2184
288528,2187
329047,2188
288003,2188
483311,2188
567233,2190
314675,2191
287702,2193
554546,2194
343486,2195
292021,2199
342397,2200
355059,2202
321762,2203
259818,2181
332178,2193
280038,2184
142738,2184
464584,2184
507011,2187
183182,2188
372576,2188
440289,2195
183181,2199
222688,2200
183186,2193
360200,2202
183183,2203
577719,2665
372574,2181
579356,2181
388932,2180
328547,2183
300884,2184
410436,2184
454763,2184
535470,2184
535470,2187
300883,2184
300883,2188
346141,2184
346141,2188
337976,2187
462538,2187
378177,2188
342130,2191
332724,2193
364430,2194
382662,2195
540589,2195
344344,2199
357501,2200
349065,2201
361585,2202
332917,2203
466137,2203
129447,2199
260917,2199
185338,2199
129463,2199
224900,2199
80837,2181
181197,2180
243057,2184
591323,2184
291145,2184
23774,2184
249576,2184
133188,2184
483383,2184
353312,2184
195149,2184
26538,2184
27247,2184
23775,2184
163506,2187
356084,2187
99467,2188
265401,2188
338769,2188
115544,2191
136222,2193
309176,2194
324338,2195
513792,2195
453036,2199
595749,2199
311975,2200
408811,2202
