ver_id,name_index,name,sortindex
289646,1,Classic Line edition,1
489796,1,Kickstarter Exclusive Edition,1
279240,1,Kickstarter edition,1
23723,1,German third edition,1
449425,1,Spanish edition,1
332297,1,Estoril 1942: Un juego de espias,1
264909,1,MB Italian edition,1
351591,1,Japanese edition,1
499019,1,Chinese 10th Anniversary foil edition,1
69402,1,Nordic edition,1
307954,1,Daffodil edition,1
531855,1,Fourth edition,1
64188,1,Classic Battletech A Game of Armored Combat,1
92057,1,English 25th Anniversary edition 2011,1
103535,1,The Adventurers: La Pyramide d'Horus,5
349772,1,Great Rebuilding Edition,1
328604,1,Deluxe Second Edition,1
21756,1,Rio Grande English edition,1
338664,1,Spanish / portuguese first edition,1
528473,1,Comrade edition,1
405340,1,Milton Bradley English edition 1990,1
39050,1,Foreign Edition (Spanish),1
99316,1,Evertide Edition,1
44202,1,US edition,1
419340,1,UK edition,1
37865,1,French edition,1
31390,1,La Traversée du Delta,4
439357,1,Centenary Edition,1
26085,1,Family Games edition,1
428071,1,もっとホイップを,1
95927,1,Fantasy Flight Edition 2011,1
212735,1,Novembre Rouge,1
337044,1,Japanese edition,1
282693,1,"English Revised Edition, 4th printing",1
256649,1,"English Revised Edition, 2nd printing",1
276500,1,"English Revised Edition, 3rd printing",1
190938,1,150th Anniversary Edition,1
132433,1,East German edition,1
27602,1,Third printing,1
48413,1,French/English edition,1
301115,1,All-Aboard Games Handmade 09,1
509988,1,English deluxe edition 2013,1
218960,1,English deluxe edition 2014,1
280973,1,German deluxe edition,1
275614,1,Target edition,1
74599,1,UK/European edition,1
370001,1,Barnes & Noble edition,1
139747,1,Catturare il famoso ladro di opere d'arte,1
467283,1,歐洲十日遊,1
402866,1,バスルートをつくろう,1
366815,1,EN/FR/GE/NL edition,1
399818,1,Red edition,1
111900,1,Parker Finnish/Swedish edition 2003,1
376580,1,Designer's edition,1
485162,1,Commnad Japan edition,1
22385,1,English first edition (Mensa Select),1
397684,1,Maszyny Parowe,1
236157,1,Boggle Reinvention,1
28293,1,Ravensburger German first edition 1988,1
220740,1,English-only first edition,1
236951,1,"Panzergruppe Guderian: De Slag van Smolensk, Juli 1941",1
439206,1,Q-System: Sherlock – Dernier Appel,1
248528,1,아브라카 왓?,1
320486,1,圓樓,1
450826,1,圓樓,1
192290,1,Kości opowieści,1
561454,1,The Impoverished Pilgrim's Edition,5
333496,1,造王者！,1
233331,1,First Season,1
355912,1,Season 2,1
355913,1,Season 3,1
504079,1,Unlock! La Élite,1
410770,1,Version 3,1
243121,1,Car Wars Classic,1
599896,1,Breaking Games English 0081507 edition,1
599896,2,Breaking Games English 0309685 edition,1
482193,1,English second edition,1
439207,1,Q-System: Sherlock – La Tombe de l'Archéologue,1
370780,1,西安,1
199102,1,Geistertreppe,1
199102,2,L'eschalier Hanté,1
297411,1,Delete,1
427284,1,German version,1
329744,1,Metal pieces edition,1
72031,1,Hazgaard multilingual edition,1
20984,1,Multilingual first edition,1
397118,1,Blaue Bohne special edition,1
24627,1,Matagot second edition,1
311023,1,Chinese edition,1
159598,1,Ravensburger Chinese edition,1
370211,1,English revised edition,1
534562,1,English 4th Edition,1
28594,1,Fantasmagorie!,1
27985,1,Ile Boule de Feu,1
283648,1,花札,1
428789,1,横濱紳商伝デュエ,1
510114,1,German second edition,1
336021,1,First edition,1
180158,1,Alcatraz: Il Capro Espiatorio,1
532768,1,Boxed Set,1
151616,1,Fortune,1
87972,1,Maritime Silk Road,1
20607,1,렉시오,1
186365,1,Gibson & Sons edition,1
41913,1,German first edition,1
331292,1,Italian edition,1
217486,1,English edition 1998,1
222825,1,Bonn from the Roman Age until Today,1
397435,1,Gilded edition,1
446670,1,French Cannes festival edition,1
599784,1,Magic Kingdom Park Edition,1
395735,1,Retail edition,1
248802,1,English first edition,1
259358,1,Chinese edition,1
504081,1,Unlock! La Quinta Avenida,1
186199,1,Irish edition,1
265639,1,Kości opowieści: Akcje,1
191147,1,Ventura Australian edition,1
439208,1,Q-System: Sherlock – Mort un 4 Juillet,1
125852,1,Pressman  Junior Edition,1
546558,1,English edition,1
546558,2,English Kickstarter & Convention,1
214540,1,Grolsch Dutch edition,1
290512,1,DHL Dutch edition,1
30042,1,UK edition,1
302288,1,Armadöra,1
437389,1,German REWE edition,1
225637,1,First edition,1
101962,1,Mini Orchard,1
458171,1,Deluxe Edition,1
307651,1,Portal: Nespolečenská hra o sbírání dortu,1
405030,1,English ten player edition,1
74588,1,German edition,1
376855,1,Canadian Bilingual edition,1
509911,1,Finishing Time,1
49626,1,Au voleur!,1
457691,1,UK edition,1
466335,1,Q-System: Sherlock – Propagation,1
275542,1,派德羅與食人魚,1
466337,1,Q-System: Sherlock – 13 Otages,1
24371,1,Winning Moves English Edition,1
33692,1,L'As des As,3
271922,1,Fourth printing,1
423159,1,Το Παιχνίδι του Στέμματος: Παιχνίδι με Κάρτες,1
138449,1,Reisen til Jordens Indre,1
232837,1,English deluxe edition,1
301853,1,Guest artist edition 2016,1
504080,1,Unlock! La Mazmorra de Doo-Arann,1
78356,1,TSR edition,1
366783,1,New Board Game Party edition,1
389592,1,Canadian edition,1
25412,1,English first edition,1
193692,1,English first edition,1
26880,1,English edition,1
500906,1,Deluxe Edition,1
443096,1,English edition,1
28893,1,Revised first edition,1
368890,1,Commodore edition,1
28869,1,Parker brothers English Edition,1
206008,1,Risk Star Wars: edicion guerras Clon,1
466340,1,Q-System: Sherlock – Le Parrain,1
117064,1,Dutch edition,1
461581,1,First edition,1
384849,1,Premier Set edition,1
52827,1,Adlung-Spiele multilingual edition,1
106378,1,Australian edition,1
427874,1,Dutch 3D edition,1
239566,1,First Boxed Edition,1
21388,1,Deluxe edition,1
21388,2,Fancy edition,1
322666,1,폴드-잇,1
42961,1,First printing,1
80508,1,Second printing,1
369777,1,1824: Österreich-Ungarn,1
30980,1,1824: Österreich-Ungarn,1
455382,1,North Anerican edition,1
335086,1,閃靈快手 魔法帽,1
425207,1,Second edition,1
410079,1,Russian deluxe edition,1
458156,1,Howly Growly Box edition,1
243661,1,first Edition French,1
447430,1,English first edition,1
277821,1,The Ladybugs' Costume Party,5
263915,1,Clue: Percez les secrets,1
275182,1,English first edition,1
204598,1,Anniversary edition,1
504078,1,Unlock! El Templo de Ra,1
73885,1,"1st edition, 4th printing",1
326827,1,First edition,1
280316,1,Classic Line edition,1
464363,1,Gilded Edition,1
422906,1,Silly Cow,1
28470,1,Second edition,1
25813,1,First edition,1
219607,1,快樂農莊,1
321880,1,English deluxe edition,1
72789,1,Dutch/French edition,1
506761,1,10th Anniversary edition,1
498407,1,Warehouse Edition 2018,1
189144,1,古代ローマの新しいゲーム,1
330439,1,Command Japan magazine edition,1
226950,1,Feintes Dissimulées,1
567270,1,Pharaoh's Edition,1
124386,1,将棋ごいた,1
451380,1,Tonkin: La Guerre d'Indochine,1
175840,1,Tube classic edition,1
25895,1,''Casino-Serie'' edition,1
243970,1,O tango da tarântula,3
243970,2,El tango de la taràntula,4
310546,1,Tarantúlutangó,1
459708,1,English remastered edition,1
504076,1,Unlock! En Busca de Cabrakán,1
70656,1,Le Dernier Succès,4
416916,1,Le Dernier Succès,4
312603,1,松鼠也瘋狂,1
222630,1,3 Kingdoms: The Secret Society,1
422150,1,Close to the Mark!,1
422150,2,English/French/German/Italian edition,1
422150,3,Juste à côté!,1
79765,1,Incognito,1
79765,2,Inkognito,1
392676,1,German Director's Cut edition,1
310925,1,知識線 恐龍篇,1
30445,1,First edition,1
506434,1,ΤΟ ΚΑΛΟ ΠΑΙΧΝΙΔΙ,1
294613,1,Lineacinque,1
294613,2,Morpion,1
315085,1,Wizardry to the power of three,1
325758,1,Mini edition,1
368178,1,1918: Veli Veljeä Vastaan,1
361427,1,Schwarzes Schaf,1
361427,2,豬朋狗友之黑仔阿羊,1
517933,1,Fly Swatter,1
265271,1,Tangled edition,1
141138,1,Rapunzel edition,1
85569,1,German sixth edition,1
130087,1,IKEA wooden edition,1
130087,2,Ikea wooden edition,1
297681,1,Головоноги,1
40679,1,Family edition,1
265905,1,Second edition: PDF only,1
341360,1,ナショナルエコノミー,1
344063,1,ナショナルエコノミー,1
90883,1,Dutch edition,1
310926,1,Ab in die Tonne,1
470027,1,English Alpha Genesis edition,1
260807,1,Boxed edition,1
32626,1,Tactic Finnish third edition,1
544063,1,Nelospelit Finnish first edition,1
486153,1,Nelospelit Finnish second edition,1
144827,1,Tintin Collector edition,1
100903,1,Hola Edition,1
83636,1,Early Railways Collection,1
446198,1,Marbles edition,1
473808,1,Hungarian edition,1
231935,1,First  edition,1
333495,1,怎麼鳥,1
468592,1,Zumos,1
78072,1,First edition,1
353280,1,エンペラーズ・チョイス,1
422350,1,Designer's Edition,1
390722,1,English edition,1
390722,2,English First Edition: Gravity Feed,1
263626,1,English First Collector's Edition,1
373416,1,Deluxe edition,1
265289,1,와글와글 던전,1
428790,1,First edition,1
106978,1,Borodino,1
253732,1,First edition,1
376618,1,Classic edition,1
430791,1,English edition,1
35664,1,Fantasy Flight Silverline edition,1
396879,1,French Cannes edition,1
390567,1,English second edition,1
370872,1,German Sdj edition,1
276830,1,Heidelberger Multilingual first edition,1
431583,1,Revised edition,1
248681,1,Préférence Personelle,1
362532,1,Brain Games edition,1
369714,1,Big Game Night Edition,1
244678,1,English-only first edition,1
397395,1,First edition,1
394621,1,English deluxe edition,1
318275,1,English standard edition,1
238099,1,Poliorkia,1
388910,1,Revised edition,1
361689,1,Second to None edition,1
322198,1,Very first edition,1
235583,1,Peikkopolku,1
272721,1,First edition,1
29315,1,Parker Brothers Canadian Bilingual Edition 1972,1
223547,1,Jorden runt på 80 dagar,1
440316,1,ソーラウィン,1
440316,2,蒐靈祭,1
453602,1,Jäinen kuolema: Suomen talvisota,1
337041,1,Chinese edition,1
110027,1,Big Box Edition,1
394416,1,Rojo,1
358813,1,ナショナルエコノミー・メセナ,1
434808,1,功夫擂台,1
44503,1,Fiery Dragons,1
44503,2,Fort comme un dragon,1
44503,3,Forte come un drag,1
44503,4,Fuerza de dragón,1
44503,5,Sterk als een draak,1
514316,1,Delete this tag,1
506743,1,Sakura edition,1
341598,1,English/German edition,1
40372,1,First edition,1
441975,1,Wooden edition,1
236258,1,English 10th Anniversary edition,1
88076,1,"Star Fleet Battle Manual: Improved, Expanded 2nd Edition",1
338890,1,German travel edition,1
424203,1,ライナー・クニツィアのカリスト,1
272438,1,First edition,1
412133,1,English/Portuguese/Spanish edition,1
448370,1,13 Schafe,1
399008,1,Pas de soucisse,1
455285,1,功夫,1
414636,1,Moorgeister,1
450606,1,Pocketbox edition,1
215039,1,Days of Honor: Operation Wildhorn III,1
21083,1,Mut Zur Lucke!,1
21083,2,Place Au Risque!,1
21083,3,Tappa il Buco,1
441225,1,Premium Hardwood: Limited Edition,1
427240,1,Print and Play first edition,1
599499,1,For the Greater Good Edition,1
601832,1,Für Das Gemeinwohl Auflage,1
507373,1,English edition,1
322812,1,The Rolling Witch,5
322812,2,La Sorciere Filante,4
322812,3,La Strega Frettolosa,4
446420,1,Limited Edition,1
475990,1,Поделим,1
402361,1,IWA square edition,1
509670,1,IWA CAPITAL German edition,1
536525,1,Nephilim Edition,1
32299,1,Command magazine edition,1
415981,1,First edition,1
