bg_id,id,type
121921,80458,artist
121921,80457,artist
121921,63785,artist
121921,134787,artist
121921,69434,artist
121921,66798,artist
121921,21002,artist
121921,38138,artist
121921,4735,artist
121921,12540,artist
229853,59986,designer
229853,59181,artist
157354,1727,designer
157354,78139,artist
171623,35418,designer
171623,59986,designer
171623,12484,artist
68448,9714,designer
68448,62528,artist
68448,12016,artist
68448,100254,artist
68448,89045,artist
200680,10,designer
200680,11507,artist
110327,15913,designer
110327,13261,designer
110327,19626,artist
110327,14936,artist
110327,19412,artist
110327,50887,artist
110327,15019,artist
110327,14937,artist
110327,43532,artist
110327,18780,artist
110327,14202,artist
110327,28288,artist
110327,14299,artist
110327,15368,artist
110327,14940,artist
110327,12065,artist
110327,47312,artist
110327,13976,artist
110327,24268,artist
110327,15025,artist
110327,14278,artist
110327,14961,artist
110327,16907,artist
110327,24846,artist
110327,13054,artist
110327,19413,artist
110327,29693,artist
110327,14949,artist
110327,11990,artist
110327,15022,artist
110327,18461,artist
110327,1857,artist
110327,14691,artist
110327,16453,artist
110327,14955,artist
62219,6331,designer
62219,107323,artist
62219,6331,artist
62219,71,artist
62219,34490,artist
62219,18461,artist
62219,100877,artist
182874,6817,designer
182874,35418,designer
182874,11507,artist
236457,12547,designer
236457,103821,designer
236457,70533,artist
122515,7448,designer
122515,134,designer
122515,11888,artist
122515,63350,artist
122515,64986,artist
264220,42812,designer
264220,106124,designer
264220,39040,artist
264220,113980,artist
264220,114786,artist
264220,86660,artist
264220,114320,artist
264220,113981,artist
324856,45563,designer
324856,120549,artist
93,7,designer
93,8,designer
93,74,artist
18602,5629,designer
18602,4009,artist
18602,12886,artist
18602,11858,artist
37111,6651,designer
37111,16531,artist
37111,11989,artist
37111,12436,artist
12493,21,designer
12493,11988,artist
12493,11989,artist
12493,11990,artist
73439,38335,designer
73439,11312,designer
73439,7369,designer
73439,12282,artist
40834,10525,designer
40834,11933,artist
40834,11886,artist
40834,11968,artist
40834,12019,artist
40834,12123,artist
40834,11827,artist
40834,11854,artist
40834,4959,artist
40834,12484,artist
40834,11825,artist
40834,59,artist
40834,11902,artist
40834,65624,artist
40834,11797,artist
40834,11883,artist
269385,76251,designer
269385,102932,designer
170042,12547,designer
170042,70533,artist
172386,11767,designer
172386,11507,artist
172386,11898,artist
146021,6651,designer
146021,69718,designer
146021,14596,artist
146021,13115,artist
146021,70695,artist
146021,12065,artist
146021,46413,artist
146021,69250,artist
146021,29809,artist
146021,50051,artist
203993,6818,designer
203993,6817,designer
203993,35418,designer
203993,11507,artist
203993,11898,artist
205896,1533,designer
205896,113293,artist
205896,12495,artist
295947,122804,designer
295947,71164,artist
281259,94322,designer
281259,118494,artist
281259,94322,artist
163412,10,designer
163412,11507,artist
163412,130882,artist
163412,130756,artist
163412,130883,artist
42,2,designer
42,12176,artist
42,26009,artist
42,74,artist
42,16910,artist
42,44542,artist
42,12063,artist
144733,2748,designer
144733,1828,designer
144733,11968,artist
144733,11902,artist
225694,82239,designer
225694,102564,artist
225694,102563,artist
225694,102567,artist
284378,12396,designer
284378,64844,artist
102680,4958,designer
102680,962,artist
155821,6997,designer
155821,30958,artist
155821,44725,artist
178900,789,designer
178900,12402,artist
178900,28450,artist
178900,114458,artist
132531,11555,designer
132531,150,designer
132531,11968,artist
132531,11902,artist
132531,12836,artist
36218,10525,designer
36218,11933,artist
36218,11886,artist
36218,12019,artist
36218,11854,artist
36218,4959,artist
36218,11825,artist
36218,59,artist
36218,11902,artist
36218,11797,artist
233371,92370,designer
233371,60376,artist
233371,73773,artist
233371,82020,artist
233371,31001,artist
233371,11883,artist
172287,57793,designer
172287,27926,artist
172287,24841,artist
218417,88122,designer
218417,122536,artist
263918,109218,designer
263918,90807,artist
30549,378,designer
30549,9731,artist
30549,33088,artist
30549,11935,artist
30549,14057,artist
30549,16910,artist
198928,41726,designer
198928,378,designer
198928,80022,artist
198928,14057,artist
196340,39436,designer
196340,39436,artist
196340,12199,artist
196340,39437,artist
163068,76971,designer
163068,76578,designer
163068,76972,artist
163068,85502,artist
2511,1221,designer
2511,1220,designer
2511,1219,designer
2511,2954,artist
2511,12886,artist
2511,11568,artist
2511,39783,artist
2511,14878,artist
2511,23319,artist
253344,442,designer
253344,1533,designer
253344,12935,artist
253344,14792,artist
253344,12317,artist
253344,113293,artist
253344,12495,artist
253344,2582,artist
175155,71982,designer
175155,64445,designer
175155,6651,designer
127023,10395,designer
127023,10393,designer
127023,30958,artist
127023,46405,artist
127023,12935,artist
266524,107084,designer
266524,114183,artist
175640,12396,designer
175640,64844,artist
262712,150,designer
262712,11886,artist
255984,11854,designer
255984,11854,artist
317985,129749,designer
317985,11883,artist
233398,3526,designer
233398,9733,designer
233398,9731,artist
233398,95103,artist
4098,366,designer
4098,7295,artist
4098,11802,artist
4098,11997,artist
4098,64844,artist
161970,75718,designer
161970,12692,artist
146652,10489,designer
146652,4372,designer
147020,4113,designer
147020,4059,designer
147020,92581,artist
118048,57305,designer
118048,81981,artist
118048,11883,artist
103885,4786,designer
103885,34719,artist
103885,18345,artist
103885,63040,artist
103885,21426,artist
103885,58027,artist
103885,14590,artist
103885,13416,artist
103885,24858,artist
103885,26587,artist
103885,46413,artist
103885,39678,artist
103885,49382,artist
103885,104761,artist
103885,41678,artist
103885,41679,artist
103885,49393,artist
34635,928,designer
34635,11825,artist
271324,66017,designer
271324,56844,artist
274364,34699,designer
274364,11507,artist
274364,8108,artist
43015,1018,designer
43015,12484,artist
14996,9,designer
14996,12519,artist
14996,11886,artist
233867,94040,designer
233867,88432,artist
148949,381,designer
148949,11898,artist
148949,12674,artist
77423,11655,designer
77423,40598,artist
77423,43501,artist
77423,19822,artist
77423,12438,artist
77423,29339,artist
77423,29340,artist
77423,14879,artist
77423,50887,artist
77423,29341,artist
77423,16531,artist
77423,29343,artist
77423,43386,artist
77423,36004,artist
77423,49392,artist
77423,12511,artist
77423,48519,artist
77423,34766,artist
77423,43532,artist
77423,14272,artist
77423,49390,artist
77423,20339,artist
77423,50050,artist
77423,14593,artist
77423,26040,artist
77423,50786,artist
77423,49389,artist
77423,75217,artist
77423,59153,artist
77423,15935,artist
77423,14110,artist
77423,48498,artist
77423,49383,artist
77423,24858,artist
77423,35573,artist
77423,49382,artist
77423,19549,artist
77423,49388,artist
77423,39085,artist
77423,49387,artist
77423,49391,artist
77423,49381,artist
77423,19691,artist
77423,42152,artist
77423,49386,artist
77423,12436,artist
77423,19631,artist
77423,41678,artist
77423,21149,artist
77423,49384,artist
77423,49393,artist
77423,36620,artist
77423,21098,artist
77423,49385,artist
77423,29809,artist
77423,17928,artist
77423,43509,artist
77423,50051,artist
77423,16398,artist
77423,29350,artist
77423,36525,artist
77423,49280,artist
244522,80162,designer
244522,110338,artist
287954,42,designer
287954,14057,artist
104162,11413,designer
104162,6651,designer
104162,50880,designer
104162,2336,designer
104162,30957,artist
104162,19573,artist
104162,50680,artist
104162,17068,artist
104162,64812,artist
104162,120249,artist
104162,24858,artist
104162,46413,artist
104162,36620,artist
104162,41191,artist
43111,1533,designer
43111,24805,artist
43111,16531,artist
43111,12018,artist
43111,11989,artist
43111,12436,artist
9609,3247,designer
9609,934,designer
9609,935,designer
9609,11884,artist
9609,20674,artist
9609,20670,artist
9609,20675,artist
9609,12236,artist
254640,51255,designer
254640,51055,designer
254640,70260,artist
254640,119638,artist
220877,6940,designer
220877,6941,designer
220877,12484,artist
217372,2,designer
217372,12130,artist
217372,11883,artist
82222,42141,designer
82222,42141,artist
82222,68649,artist
82222,39902,artist
256916,6045,designer
256916,31545,artist
256916,103476,artist
283948,35418,designer
283948,59986,designer
283948,12484,artist
54043,6736,designer
54043,12130,artist
54043,12282,artist
231733,102328,designer
231733,102328,artist
150376,12679,designer
150376,65023,designer
150376,77485,artist
150376,70730,artist
150376,39902,artist
10630,25,designer
10630,12519,artist
10630,11886,artist
10630,908,artist
10630,20387,artist
128882,11906,designer
128882,14650,artist
128882,49082,artist
128882,100666,artist
128882,21002,artist
17133,1115,designer
17133,6,designer
17133,11872,artist
17133,11997,artist
17133,12782,artist
282524,102313,designer
282524,102313,artist
463,14,designer
463,76846,artist
463,40174,artist
463,41753,artist
463,14753,artist
463,49922,artist
463,13924,artist
463,16448,artist
463,49894,artist
463,13376,artist
463,43829,artist
463,13641,artist
463,13375,artist
463,29182,artist
463,17124,artist
463,14681,artist
463,13518,artist
463,29183,artist
463,13948,artist
463,12036,artist
463,29184,artist
463,13419,artist
463,29185,artist
463,29186,artist
463,13832,artist
463,15963,artist
463,29187,artist
463,19565,artist
463,14936,artist
463,13631,artist
463,12827,artist
463,19627,artist
463,29189,artist
463,13306,artist
463,12503,artist
463,14761,artist
463,41134,artist
463,29190,artist
463,13794,artist
463,12497,artist
463,19412,artist
463,13632,artist
463,41752,artist
463,50887,artist
463,29191,artist
463,14417,artist
463,29192,artist
463,29193,artist
463,15492,artist
463,29194,artist
463,16052,artist
463,29195,artist
463,3330,artist
463,40178,artist
463,19411,artist
463,38001,artist
463,22772,artist
463,13737,artist
463,14425,artist
463,49412,artist
463,29287,artist
463,13526,artist
463,15314,artist
463,14642,artist
463,130341,artist
463,19612,artist
463,43247,artist
463,41755,artist
463,29288,artist
463,13241,artist
463,14268,artist
463,29289,artist
463,29290,artist
463,15024,artist
463,26712,artist
463,14287,artist
463,41877,artist
463,12511,artist
463,40182,artist
463,13343,artist
463,14765,artist
463,15223,artist
463,15464,artist
463,29293,artist
463,13455,artist
463,29916,artist
463,29917,artist
463,2092,artist
463,15019,artist
463,29918,artist
463,15135,artist
463,14648,artist
463,21006,artist
463,12509,artist
463,13718,artist
463,29920,artist
463,40243,artist
463,29927,artist
463,12096,artist
463,29964,artist
463,29965,artist
463,13485,artist
463,14657,artist
463,29966,artist
463,15121,artist
463,33547,artist
463,13312,artist
463,24690,artist
463,6071,artist
463,11994,artist
463,19567,artist
463,9234,artist
463,1038,artist
463,50031,artist
463,16051,artist
463,29967,artist
463,14937,artist
463,14611,artist
463,61,artist
463,29968,artist
463,15054,artist
463,50027,artist
463,29970,artist
463,13797,artist
463,29972,artist
463,14861,artist
463,29973,artist
463,14291,artist
463,21583,artist
463,14699,artist
463,29975,artist
463,15504,artist
463,18043,artist
463,616,artist
463,33437,artist
463,14889,artist
463,16619,artist
463,14049,artist
463,13089,artist
463,18175,artist
463,40189,artist
463,40190,artist
463,49899,artist
463,16447,artist
463,9859,artist
463,15020,artist
463,26864,artist
463,40192,artist
463,14508,artist
