bg_id,id
174430,312632
174430,310777
174430,250337
174430,312635
174430,298195
174430,297586
174430,226868
174430,310773
174430,231934
174430,300402
174430,310754
174430,312638
167791,296298
167791,317189
167791,322281
167791,265081
167791,339849
167791,241497
167791,311247
167791,312319
167791,332774
167791,255681
167791,346129
167791,218127
167791,265083
167791,265084
167791,358525
167791,352525
167791,230241
167791,247030
167791,230123
167791,202825
167791,226297
167791,273473
167791,279345
167791,231965
291457,354666
233078,315895
233078,332157
233078,336970
187645,226840
162886,193065
162886,245664
162886,244827
162886,356510
162886,346618
162886,262722
162886,232394
162886,263778
162886,292800
162886,275756
182028,280833
115746,299490
115746,122328
115746,132430
115746,188886
115746,339076
115746,179404
115746,210039
193738,256951
193738,232298
193738,295953
193738,264228
193738,225704
193738,245744
193738,238620
193738,293240
12333,117145
12333,227688
12333,151546
12333,123262
12333,280500
12333,327916
12333,190581
12333,199869
12333,163247
12333,224686
169786,276229
169786,262151
169786,199727
169786,279304
169786,211731
169786,221033
169786,232176
169786,232087
169786,237663
169786,205121
169786,211732
169786,211733
169786,212879
169786,204984
169786,242277
169786,223555
316554,343598
316554,345692
316554,326431
316554,342031
84876,178656
84876,231506
84876,256951
84876,264104
84876,110926
84876,132477
84876,139160
84876,150083
84876,166589
84876,190225
84876,193585
84876,214005
84876,234163
84876,179205
167355,295927
167355,318351
167355,256377
167355,312736
167355,297911
167355,245845
167355,274532
167355,297660
167355,321742
167355,245846
167355,275277
167355,310118
167355,313790
173346,274383
173346,309116
173346,202976
173346,310215
173346,196339
173346,186069
124361,209574
124361,232917
124361,283177
124361,165023
124361,208364
124361,181084
124361,325490
124361,262711
28720,201381
28720,138329
120677,149890
120677,349169
120677,356035
120677,161317
120677,280885
120677,184895
120677,150740
177736,232298
177736,236902
177736,292592
177736,240522
177736,216788
266192,339017
266192,290448
266192,300580
266192,290837
205637,327293
205637,235542
205637,288607
205637,317014
205637,326045
205637,276291
205637,316188
205637,238530
205637,275585
205637,301760
205637,348234
205637,239330
205637,216556
205637,340953
205637,215510
205637,247404
205637,209728
205637,291559
205637,318023
205637,298128
205637,242088
205637,228778
205637,340035
205637,340036
205637,267974
205637,318833
205637,252899
205637,305512
205637,251733
205637,324765
205637,272752
205637,318022
205637,328627
205637,305517
205637,237424
205637,224363
205637,347147
205637,226690
205637,284354
205637,305509
205637,241622
205637,293271
205637,309374
205637,354504
205637,333025
205637,260311
205637,302213
205637,244145
205637,279196
205637,247331
205637,257240
205637,248199
205637,305518
205637,280714
205637,249772
205637,262754
205637,254122
205637,255900
205637,281541
205637,347149
205637,208545
205637,347148
205637,212734
205637,252896
205637,245815
205637,308592
205637,233977
205637,327294
205637,210025
205637,252897
205637,237234
205637,358212
205637,225563
205637,358213
205637,286257
205637,264459
205637,230510
205637,266377
205637,247718
205637,219054
205637,271056
205637,321101
205637,297471
205637,221725
205637,297200
205637,305513
205637,295594
183394,214463
183394,130655
183394,140045
183394,193823
183394,202174
183394,248929
237182,336276
237182,334485
237182,287220
237182,334483
237182,272638
237182,334486
237182,330149
237182,336649
237182,241386
237182,272637
237182,309977
164928,178656
164928,317189
164928,289400
164928,231964
164928,189623
164928,186236
164928,231405
164928,307822
164928,190049
164928,286020
164928,183682
164928,247797
164928,179417
164928,184018
164928,185922
164928,211082
164928,237163
164928,234593
164928,210145
164928,237167
164928,249576
164928,307008
164928,166842
164928,204814
164928,175844
164928,309312
199792,357969
199792,289057
199792,359324
199792,347397
199792,297973
199792,289405
199792,352844
199792,348594
199792,297972
199792,332397
199792,332390
199792,259996
199792,319420
199792,292794
199792,261142
199792,289056
199792,319419
199792,334946
266507,286594
266507,290036
266507,290075
266507,298015
266507,290071
266507,293208
266507,289559
266507,275532
266507,308918
96848,277519
96848,144763
96848,176130
96848,130704
312484,349330
312484,341254
312484,336817
312484,349092
312484,330677
312484,338841
246900,305954
246900,305950
246900,305955
246900,294546
246900,350921
246900,303298
175914,261526
3076,286086
3076,69178
3076,292912
3076,12382
3076,159761
3076,270125
3076,291423
3076,40688
102794,154204
102794,322816
102794,160803
102794,166187
102794,245932
102794,272699
102794,248951
102794,183531
170216,174506
170216,311901
170216,174801
170216,193898
170216,174388
170216,350961
170216,310026
170216,175100
170216,286883
285774,315981
285774,299049
285774,289222
285774,300878
285774,333748
285774,333154
285774,303708
285774,357957
285774,316224
285774,291432
285774,340900
285774,356075
285774,316694
285774,316695
285774,347813
285774,330615
285774,315896
285774,288794
285774,343017
285774,339711
